見出し,電話,ファックス,住所,開館時間,休館日,催し名,区分,開催日,場所,対象,定員,費用,申込,備考
県立近代美術館,073-436-8690,073-436-1337,〒640-8137                                 市吹上1-4-14                                                                             ,9:30?17:00                              （入館は16:30まで）,月曜 （祝日の場合次の平日）,コレクション展2020-夏 特集「浜口陽三」,展示,6月30日（火）?9月6日（日）,,,,,,
県立博物館,073-436-8670,073-436-6643,〒640-8137                                  和歌山市吹上1-4-14,9:30?17:00                             （入館は16:30まで）,月曜 （祝日の場合次の平日）,企画展「紀伊田辺の画家 真砂幽泉」,展示,6月13日（土）～7月12日（日）,,,,,,
県立自然博物館,073-483-1777,073-483-2721,〒642-0001                                 海南市船尾370-1,9:30～17:00                                         （入館は16:30まで）,月曜 （祝日の場合次の平日）,キノコや粘菌をさがしてみよう！(1),イベント,7月12日（日）13:00?16:00,南方熊楠記念館（白浜町）,小学生以上（小学生は保護者同伴）,30人（抽選）6月28日まで,南方熊楠記念館 入館料,,
県立自然博物館,073-483-1777,073-483-2721,〒642-0001                                海南市船尾370-1,9:30～17:00                             （入館は16:30まで）,月曜 （祝日の場合次の平日）,君もめざそう！きのくに子ども自然博士 昆虫子ども博士コース,イベント,7月22日（水）?23日（祝）1泊2日,大川周辺（和歌山市）,小学5年～高校生 ,5人（抽選）7月8日まで,"3,000円",,
片男波公園万葉館・健康館,073-446-5553,073-446-5554,〒641-0022                                和歌山市和歌浦南3-1700,9:00～17:00                               （入館は16:30まで）,,日曜体験教室ドライフラワーアレンジ～森のとびら～,イベント,7月5日（日）13:30?14:30,,小学生以上（小学生は保護者同伴）,10人（先着順）,"1,100円 事前申込",,※マスク着用のご協力をお願いします。
片男波公園万葉館・健康館,073-446-5553,073-446-5554,〒641-0022                                和歌山市和歌浦南3-1700,9:00～17:00                              （入館は16:30まで）,,企画展「万葉木版画展」,展示　,6月18日（木）?8月30日（日）,,,,,,※マスク着用のご協力をお願いします。
県立紀伊風土記の丘,073-471-6123,073-471-6120,〒640-8301                                和歌山市岩橋1411,9:00～16:30                              （入館は16:00まで）,月曜 （祝日の場合次の平日）,和歌山県内埋蔵文化財調査成果展 「紀州のあゆみ～発掘された郷土の歴史～」,展示,?6月28日（日）,,,,,,
県立紀伊風土記の丘,073-471-6123,073-471-6120,〒640-8301                                和歌山市岩橋1411,9:00～16:30                              （入館は16:00まで）,月曜 （祝日の場合次の平日）,岩橋千塚の実物大の埴輪（はにわ）を作ろう(1),イベント,6月20日（土）10:00?16:30,,中学生以上,15人（先着順）6月4日13:00?,,,
県立紀伊風土記の丘,073-471-6123,073-471-6120,〒640-8301                                和歌山市岩橋1411,9:00～16:30                              （入館は16:00まで）,月曜 （祝日の場合次の平日）,展示講座(2)「紀州のあゆみ展」,イベント,6月21日（日）13:30?15:30,,小学生以上 ,30人（先着順）6月5日から,,,
県植物公園緑花センター,0736-62-4029,0736-63-2570,〒649-6211                                 岩出市東坂本672,9:00～17:00                               （入館は16:30まで）,火曜 （祝日の場合次の平日）,6月の花ごよみ　アジサイ、モナルダ、バラ、ハナショウブ、スイレン,,,,,,,,
県立図書館,073-436-9500,073-436-9501,〒641-0051                                和歌山市西高松1-7-38,9:00?19:00                             （土日祝は18:00まで）,月曜（祝日の場合次の平日）　                                     毎月第2木曜,ボランティアによる「おはなし会」,イベント,6月13・20・27日（土）14:00?、7月4日（土）11:00?,,,,,,
県立図書館,073-436-9500,073-436-9501,〒641-0051                                和歌山市西高松1-7-38,9:00?19:00                              （土日祝は18:00まで）,月曜（祝日の場合次の平日）　                    毎月第2木曜,エントランスコンサート,イベント,7月3日（金）12:00?12:30,,,100人（先着順）,,,
県立紀南図書館,0739-22-2061,0739-22-4773,〒646-0011                                田辺市新庄町3353-9                   （県立情報交流センターBig・U内）,9:00?19:00                              （土日祝は18:00まで）,月曜（祝日の場合次の平日）                    　毎月第2木曜 ,ゆうゆうおはなし会,イベント,6月14・21・28日、7月5日（日）11:00?11:30,,,,,,
県動物愛護センター,073-489-6500,073-489-6504,〒640-1251                                紀美野町国木原372,10:00～17:00,火曜 ,犬・猫の飼い方講習会及び譲渡会,イベント,(1)6月4日（木）・14日（日）・28日（日）、7月4日（土）・12日（日）・18日（土）・22日（水）・26日（日）11:00?,(1)県動物愛護センター,,,,,"※譲渡を受けるには受講と、犬については狂犬病予防ワクチン接種代2,700円が必要です。                                                                 ※県動物愛護センターでは譲渡会を常時開催しています。"
県動物愛護センター,073-489-6500,073-489-6504,〒640-1251                                紀美野町国木原372,10:00～17:00,火曜 ,犬・猫の飼い方講習会及び譲渡会,イベント,(2)6月18日（木）13:30?,(2)岩出保健所,,,,,"※譲渡を受けるには受講と、犬については狂犬病予防ワクチン接種代2,700円が必要です。                                                                 ※県動物愛護センターでは譲渡会を常時開催しています。"
県動物愛護センター,073-489-6500,073-489-6504,〒640-1251                                紀美野町国木原372,10:00～17:00,火曜 ,犬・猫の飼い方講習会及び譲渡会,イベント,(3)6月26日（金）11:00?,(3)御坊保健所,,,,,"※譲渡を受けるには受講と、犬については狂犬病予防ワクチン接種代2,700円が必要です。                                                                                      ※県動物愛護センターでは譲渡会を常時開催しています。"
